event_id,user_id,event_name,event_timestamp,page_url,button_id,device_type,utm_source
E000001,U00025,subscription_started,2025-04-22 23:03:00,/settings,invite_btn,desktop,google
E000002,U00056,signup_complete,2025-02-23 08:06:00,/invite,invite_btn,,google
E000003,U00842,onboarding_complete,2026-02-23 16:11:00,/signup,,MOBILE,direct
E000004,U00415,feature_used,2026-04-04 21:50:00,/signup,signup_btn,MOBILE,Google 
E000005,U00548,page_view,2025-03-28 03:32:00,/settings,,desktop,LINKEDIN
E000006,U00047,click_signup,2026-03-03 10:14:00,/signup,,desktop,email
E000007,U00622,click_signup,2025-08-08 10:29:00,/signup,,MOBILE,direct
E000008,U00032,subscription_started,2026-04-27 02:58:00,/pricing,,mobile,linkedin
E000009,U00816,create_project,2025-10-12 17:05:00,/settings,upgrade_btn,Desktop,Google 
E000010,U00383,page_view,2026-04-17 19:34:00,/projects,,mobile,google
E000011,U00006,feature_used,2025/13/40 99:99:99,/projects,,desktop,email
E000012,U00767,invite_teammate,2025-06-02 22:56:00,/pricing,,,linkedin
E000013,U00189,onboarding_complete,2025-04-28 04:52:00,/projects,invite_btn,mobile,google
E000014,U00688,page_view,2025-05-13 01:27:00,/invite,,MOBILE,Google 
E000015,U00075,create_project,2026-02-05 06:05:00,/settings,signup_btn,Desktop,google
E000016,U00744,subscription_started,2025-05-24 18:07:00,/signup,invite_btn,mobile,Google 
E000017,U00241,click_signup,2026-04-23 07:13:00,/signup,,desktop,linkedin
E000018,U00498,subscription_started,2025-08-20 09:42:00,/signup,,Desktop,Google 
E000019,U00157,invite_teammate,2026-03-02 09:06:00,/invite,invite_btn,MOBILE,linkedin
E000020,U00321,onboarding_complete,2025-01-04 12:26:00,/invite,upgrade_btn,MOBILE,email
E000021,U00138,invite_teammate,2025-09-19 18:28:00,/dashboard,,MOBILE,
E000022,U00499,click_signup,2025-08-11 10:30:00,/pricing,,desktop,LINKEDIN
E000023,U00880,signup_complete,2025-07-24 08:07:00,/projects,upgrade_btn,Desktop,Google 
E000024,U00079,click_signup,2026-04-02 06:57:00,/landing,,desktop,LINKEDIN
E000025,U00593,feature_used,2026-02-28 17:16:00,/invite,,mobile,google
E000026,U00267,subscription_started,2026-02-06 15:48:00,/settings,upgrade_btn,Desktop,direct
E000027,U00913,create_project,2025-06-12 14:33:00,/pricing,,,facebook
E000028,U00407,invite_teammate,2025-03-07 22:32:00,/projects,signup_btn,mobile,LINKEDIN
E000029,U00701,signup_complete,2026-03-24 03:03:00,/invite,,mobile,direct
E000030,U00184,signup_complete,2025-04-26 22:36:00,/settings,,Desktop,google
E000031,U00780,subscription_started,2025-06-09 08:08:00,/pricing,signup_btn,moble,email
E000032,U00044,onboarding_complete,2025-06-20 09:46:00,/projects,invite_btn,MOBILE,direct
E000033,U00903,page_view,2025-11-28 01:28:00,/landing,invite_btn,desktop,Google 
E000034,U00649,create_project,2026-01-15 15:39:00,/invite,invite_btn,,facebook
E000035,U00179,feature_used,2026-02-20 04:16:00,/settings,,Desktop,facebook
E000036,U00920,click_signup,2026-04-21 17:53:00,/projects,invite_btn,MOBILE,linkedin
E000037,U00416,invite_teammate,2026-01-12 00:15:00,/invite,invite_btn,MOBILE,LINKEDIN
E000038,U00909,page_view,2025-12-18 01:29:00,/projects,upgrade_btn,MOBILE,linkedin
E000039,U00079,create_project,2025-06-17 11:22:00,/pricing,upgrade_btn,mobile,linkedin
E000040,U00617,click_signup,2025-09-21 18:18:00,/settings,upgrade_btn,MOBILE,LINKEDIN
E000041,U00738,click_signup,2025-08-29 11:05:00,/dashboard,,MOBILE,linkedin
E000042,U00166,feature_used,2026-03-07 04:49:00,/landing,upgrade_btn,desktop,linkedin
E000043,U00607,signup_complete,2026-02-22 14:24:00,/pricing,,desktop,facebook
E000044,U00058,signup_complete,2025-04-17 22:39:00,/signup,upgrade_btn,,direct
E000045,U00993,page_view,2026-03-13 10:31:00,/settings,invite_btn,desktop,linkedin
E000046,U00622,subscription_started,2025-11-24 02:23:00,/invite,,mobile,linkedin
E000047,U00616,signup_complete,2025-10-27 02:40:00,/invite,,mobile,facebook
E000048,U00524,create_project,2026-04-26 08:11:00,/pricing,invite_btn,MOBILE,facebook
E000049,U00071,onboarding_complete,2026-03-07 01:24:00,/dashboard,,mobile,google
E000050,U00208,feature_used,2025-01-13 01:27:00,/invite,upgrade_btn,,google
E000051,U00488,page_view,2025-05-10 04:40:00,/invite,,,LINKEDIN
E000052,U00096,subscription_started,2025-03-27 13:44:00,/settings,upgrade_btn,,facebook
E000053,U00919,feature_used,2025-01-01 20:58:00,/projects,,Desktop,LINKEDIN
E000054,U00715,feature_used,2025-02-01 15:08:00,/pricing,,MOBILE,email
E000055,U00824,click_signup,2026-03-05 22:21:00,/dashboard,upgrade_btn,Desktop,direct
E000056,U00932,click_signup,2025-06-19 07:27:00,/signup,,,direct
E000057,U00194,page_view,2025-07-07 17:28:00,/settings,signup_btn,,facebook
E000058,U00533,page_view,2025-03-27 19:12:00,/dashboard,upgrade_btn,Desktop,direct
